Item,Price,Reviews,Image
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)","₹44,999",4.6,https://rukminim1.flixcart.com/image/312/312/jnj7iq80/mobile/y/q/d/apple-iphone-xr-mry52hn-a-original-imafa6zkfgwpnsgz.jpeg?q=70
"APPLE iPhone 13 Pro Max (Silver, 128 GB)","₹1,29,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/c/g/4/iphone-13-pro-max-mlll3hn-a-apple-original-imag6vpg3r7dyvhm.jpeg?q=70
"APPLE iPhone SE (Red, 128 GB)","₹34,990",4.5,https://rukminim1.flixcart.com/image/312/312/k9loccw0/mobile/6/8/g/apple-iphone-se-mxvv2hn-a-original-imafrcqmfh4zznmq.jpeg?q=70
"APPLE iPhone 12 Mini (Blue, 256 GB)","₹54,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/h/f/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfukehtnxv.jpeg?q=70
"APPLE iPhone SE (White, 256 GB)","₹42,990",4.5,https://rukminim1.flixcart.com/image/312/312/k9loccw0/mobile/6/b/z/apple-iphone-se-mxd12hn-a-original-imafrcqf9nze6evk.jpeg?q=70
"APPLE iPhone 12 Mini (Green, 256 GB)","₹54,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/h/v/w/apple-iphone-12-mini-dummyapplefsn-original-imafwgb2zkjcwpre.jpeg?q=70
"APPLE iPhone 12 (Green, 64 GB)","₹50,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dubf3nytw.jpeg?q=70
"APPLE iPhone 12 (Blue, 256 GB)","₹65,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/y/7/n/apple-iphone-12-dummyapplefsn-original-imafwg8dpyjvgg3j.jpeg?q=70
"APPLE iPhone 14 (Starlight, 256 GB)","₹89,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70
"APPLE iPhone 13 Mini (Blue, 512 GB)","₹79,990",4.5,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/i/l/iphone-13-mini-mlk93hn-a-apple-original-imag6vp6x67yypzk.jpeg?q=70
"APPLE iPhone 13 Pro (Graphite, 128 GB)","₹1,19,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/m/t/r/iphone-13-pro-mlvv3hn-a-apple-original-imag6vpb7zg6bnvb.jpeg?q=70
"APPLE iPhone 13 Pro Max (Sierra Blue, 1 TB)","₹1,79,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/r/m/8/iphone-13-pro-max-mllj3hn-a-apple-original-imag6vpgphrzuffg.jpeg?q=70
"APPLE iPhone 13 Mini (Pink, 128 GB)","₹54,990",4.5,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/u/p/8/iphone-13-mini-mlk23hn-a-apple-original-imag6vp6btm5zacs.jpeg?q=70
"APPLE iPhone 13 Pro (Alpine Green, 128 GB)","₹1,19,900",4.6,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/c/j/j/-original-imagca5hhzsgpycf.jpeg?q=70
"APPLE iPhone 12 Mini (Purple, 256 GB)","₹54,999",4.5,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/d/h/5/iphone-12-mini-mjqh3hn-a-apple-original-imag2k2xuuyfyusd.jpeg?q=70
"APPLE iPhone 14 Pro (Silver, 512 GB)","₹1,59,900",4.8,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/r/e/-original-imaghxeeme2n7hy7.jpeg?q=70
"APPLE iPhone 12 Mini (Red, 256 GB)","₹54,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/2/u/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfxuhswfgj.jpeg?q=70
"APPLE iPhone 12 Pro (Silver, 128 GB)","₹99,990",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/b/v/a/apple-iphone-12-pro-dummyapplefsn-original-imafwgbr45csnczy.jpeg?q=70
"APPLE iPhone 12 (Purple, 256 GB)","₹65,999",4.6,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/6/h/y/iphone-12-mjnm3hn-a-apple-original-imag2k2v6ehvnzfd.jpeg?q=70
"APPLE iPhone 13 Mini (Pink, 512 GB)","₹79,990",4.5,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/u/p/8/iphone-13-mini-mlk23hn-a-apple-original-imag6vp6btm5zacs.jpeg?q=70
"APPLE iPhone 12 Pro (Graphite, 512 GB)","₹1,09,990",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/u/q/d/apple-iphone-12-pro-dummyapplefsn-original-imafwgbrbzjgug4j.jpeg?q=70
"APPLE iPhone 13 Pro (Gold, 512 GB)","₹1,49,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/z/h/v/iphone-13-pro-mlvq3hn-a-apple-original-imag6vpc6mx3zwhz.jpeg?q=70
